station_id,lat,lon
US1TXBXR174,29.5824,-98.6793
US1TXBXR176,29.3961,-98.5606
US1TXBXR177,29.5502,-98.4595
US1TXBXR180,29.7024,-98.6369
US1TXBXR181,29.614,-98.5392
US1TXBXR184,29.5291,-98.5529
US1TXBXR188,29.4692,-98.5883
US1TXBXR189,29.5271,-98.5452
US1TXBXR192,29.599,-98.7127
US1TXBXR203,29.4347,-98.6837
US1TXBXR205,29.5289,-98.3312
US1TXBXR206,29.6745,-98.6309
US1TXBXR211,29.5562,-98.6023
US1TXBXR212,29.6165,-98.5105
US1TXBXR213,29.4762,-98.7667
US1TXBXR215,29.6476,-98.4338
US1TXBXR218,29.5301,-98.5275
US1TXBXR221,29.6001,-98.3795
US1TXBXR223,29.7258,-98.6812
US1TXBXR224,29.5327,-98.6687
US1TXBXR229,29.5178,-98.4388
US1TXBXR230,29.47,-98.6534
US1TXBXR241,29.5896,-98.4052
US1TXBXR242,29.6486,-98.4615
US1TXBXR251,29.5917,-98.3752
US1TXBXR253,29.5404,-98.4947
US1TXBXR264,29.2873,-98.7069
US1TXBXR268,29.3993,-98.2659
US1TXBXR269,29.4854,-98.6561
US1TXBXR271,29.311,-98.5001
US1TXBXR273,29.5521,-98.4589
US1TXBXR279,29.5443,-98.3452
US1TXBXR281,29.5798,-98.4111
US1TXBXR287,29.5393,-98.6969
US1TXBXR291,29.4873,-98.3157
US1TXBXR293,29.6874,-98.6527
US1TXBXR297,29.5917,-98.3427
US1TXBXR298,29.4303,-98.8045
US1TXBXR300,29.5209,-98.3512
US1TXBXR303,29.4929,-98.6822
US1TXBXR304,29.6749,-98.6535
US1TXBXR309,29.7259,-98.5126
US1TXBXR310,29.4925,-98.7181
US1TXBXR313,29.2683,-98.3282
US1TXBXR314,29.5325,-98.5103
US1TXBXR318,29.4586,-98.6545
US1TXBXR319,29.4504,-98.5275
US1TXBXR320,29.662,-98.6625
US1TXBXR323,29.5414,-98.6998
US1TXBXR326,29.5822,-98.568
US1TXBXR327,29.4194,-98.6401
US1TXBXR328,29.5161,-98.522
US1TXBXR330,29.5618,-98.323
US1TXBXR331,29.6061,-98.4925
US1TXBXR334,29.5604,-98.3036
US1TXBXR335,29.5498,-98.3455
US1TXBXR336,29.4974,-98.3044
US1TXBXR340,29.5407,-98.3155
US1TXBXR341,29.5504,-98.3697
US1TXBXR343,29.3474,-98.4601
US1TXBXR345,29.585,-98.6171
US1TXBXR348,29.422,-98.7366
US1TXBXR352,29.6825,-98.4799
US1TXBXR359,29.3277,-98.4306
US1TXBXR361,29.6325,-98.4881
US1TXBXR362,29.5671,-98.535
US1TXBXR367,29.5364,-98.4971
US1TXBXR368,29.5691,-98.4573
US1TXBXR370,29.4719,-98.3761
US1TXBXR371,29.5643,-98.4043
US1TXBXR372,29.4766,-98.3404
US1TXBXR374,29.5674,-98.3453
US1TXBXR376,29.1774,-98.5062
US1TXBXR378,29.5836,-98.643
US1TXBXR381,29.6481,-98.4035
US1TXBXR383,29.4411,-98.7018
US1TXBXR386,29.5662,-98.6035
US1TXBXR389,29.4728,-98.7996
US1TXBXR390,29.3792,-98.3751
US1TXBXR396,29.4576,-98.534
US1TXBXR397,29.4409,-98.4292
US1TXBXR398,29.4031,-98.2092
US1TXBXR400,29.448,-98.722
US1TXBXR402,29.4952,-98.6739
US1TXBXR403,29.6455,-98.4857
US1TXBXR404,29.5628,-98.3018
US1TXBXR405,29.6311,-98.4179
US1TXBXR406,29.7247,-98.6459
US1TXBXR407,29.6924,-98.4808
US1TXBXR408,29.4474,-98.7467
US1TXBXR409,29.4037,-98.3465
US1TXBXR412,29.5911,-98.358
US1TXBXR413,29.6919,-98.6604
US1TXBXR414,29.4782,-98.729
US1TXBXR415,29.584,-98.4039
US1TXBXR416,29.4607,-98.6775
US1TXBXR417,29.5594,-98.6112
US1TXBXR422,29.6983,-98.5085
US1TXBXR424,29.5788,-98.5447
US1TXBXR427,29.5706,-98.5361
US1TXBXR428,29.5602,-98.441
US1TXBXR430,29.7247,-98.6789
US1TXBXR431,29.5103,-98.6474
US1TXBXR432,29.456,-98.532
US1TXBXR434,29.7124,-98.4038
US1TXBXR436,29.6535,-98.6834
US1TXBXR437,29.5421,-98.6178
US1TXBXR438,29.6336,-98.4166
US1TXBXR439,29.4269,-98.7069
US1TXBXR441,29.3803,-98.7376
US1TXBXR444,29.4625,-98.4621
US1TXBXR448,29.6542,-98.4001
US1TXBXR450,29.4296,-98.4635
US1TXBXR451,29.5397,-98.352
US1TXBXR452,29.4905,-98.7517
US1TXBXR456,29.4481,-98.1821
US1TXBXR458,29.5168,-98.7438
US1TXBXR459,29.6443,-98.4286
US1TXBXR468,29.4813,-98.7442
US1TXBXR471,29.4804,-98.7388
US1TXBXR474,29.5363,-98.4318
US1TXBXR475,29.3787,-98.6484
US1TXBXR476,29.7106,-98.4761
US1TXBXR477,29.5436,-98.7289
US1TXBXR478,29.6704,-98.4753
US1TXBXR481,29.5842,-98.532
US1TXBXR482,29.538,-98.5424
US1TXBXR484,29.6125,-98.6809
US1TXBXR487,29.5725,-98.5093
US1TXBXR488,29.4653,-98.5287
US1TXBXR492,29.5236,-98.6777
US1TXBXR493,29.5231,-98.3251
US1TXBXR495,29.6088,-98.5338
US1TXBXR496,29.5958,-98.5287
US1TXBXR497,29.4281,-98.7164
US1TXBXR498,29.7397,-98.6291
US1TXBXR500,29.5354,-98.3691
US1TXBXR501,29.5935,-98.659
US1TXBXR502,29.6368,-98.4977
US1TXBXR505,29.4897,-98.451
US1TXBXR506,29.6353,-98.4146
US1TXBXR508,29.4694,-98.736
US1TXBXR509,29.6003,-98.4887
US1TXBXR515,29.5843,-98.3239
US1TXBXR516,29.3576,-98.7295
US1TXBXR517,29.7359,-98.6255
US1TXBXR521,29.5706,-98.4611
US1TXBXR524,29.5235,-98.707
US1TXBXR525,29.5472,-98.6377
US1TXBXR526,29.4579,-98.2778
US1TXBXR527,29.1842,-98.5037
US1TXBXR530,29.4368,-98.7507
US1TXBXR532,29.6346,-98.4016
US1TXBXR535,29.6456,-98.5018
US1TXBXR539,29.5215,-98.7347
US1TXBXR540,29.5632,-98.532
US1TXBXR541,29.6389,-98.5964
US1TXBXR544,29.4297,-98.7768
US1TXBXR552,29.5996,-98.4934
US1TXBZS020,30.6186,-96.2862
US1TXBZS040,30.6277,-96.2089
